epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5868,1.12035,3.18412,1.5657,0.00328,1,0.1046,0.04463,0.89381,3.92211,1.72607,4.287e-05,4.287e-05,4.287e-05
2,59.7603,0.94985,3.03691,1.44144,0.00402,1,0.28306,0.15341,0.72097,3.85125,1.52861,9.80494e-05,9.80494e-05,9.80494e-05
3,83.6878,0.71455,2.67182,1.2996,0.00511,1,0.38313,0.24946,0.59572,3.7548,1.3749,0.000150965,0.000150965,0.000150965
4,107.035,0.79183,2.40989,1.31515,0.00448,1,0.41661,0.31174,0.53944,3.57049,1.28982,0.000201618,0.000201618,0.000201618
5,130.01,0.67933,2.14508,1.27879,0.00423,1,0.46922,0.36052,0.56885,3.51829,1.3247,0.000250006,0.000250006,0.000250006
6,153.219,0.80104,2.17545,1.43783,0.00488,1,0.4845,0.36761,0.67956,3.54083,1.48278,0.000296132,0.000296132,0.000296132
7,176.305,0.74838,1.89812,1.36382,0.00649,1,0.5905,0.46859,0.67299,3.47412,1.47668,0.000339993,0.000339993,0.000339993
8,198.89,0.9486,1.77039,1.54403,1,0.14741,0.61309,0.49322,0.71613,3.19632,1.48908,0.000381592,0.000381592,0.000381592
9,221.238,0.69541,1.44017,1.28349,0.94683,0.38589,0.73723,0.52873,0.99746,3.12971,1.82463,0.000420926,0.000420926,0.000420926
10,244.362,0.72569,1.429,1.28187,1,0.30743,0.85472,0.54751,1.10998,3.19373,2.0422,0.000457997,0.000457997,0.000457997
11,266.399,0.64365,1.52996,1.28861,1,0.42389,0.89687,0.67413,0.7597,2.92099,1.5795,0.000492805,0.000492805,0.000492805
12,288.285,0.79174,1.2002,1.34444,0.81936,0.84064,0.98148,0.61525,0.91492,2.32997,1.81419,0.000525349,0.000525349,0.000525349
13,310.099,0.7192,1.27211,1.2972,0.83922,0.89659,0.98182,0.7758,0.66316,2.41698,1.38757,0.000555629,0.000555629,0.000555629
14,331.439,0.62248,1.19279,1.18548,0.81125,0.89092,0.94265,0.69215,0.8246,2.55405,1.66573,0.000583646,0.000583646,0.000583646
15,353.752,0.92365,1.31503,1.39454,0.79323,0.84556,0.90123,0.63784,0.87369,2.40508,1.69909,0.0006094,0.0006094,0.0006094
16,377.038,0.72845,1.42382,1.41983,0.77343,0.82612,0.83669,0.66397,0.68763,2.46326,1.42672,0.00063289,0.00063289,0.00063289
17,400.405,0.61683,1.90745,1.26167,0.8211,0.70393,0.88207,0.68569,0.68155,2.63081,1.45239,0.000654116,0.000654116,0.000654116
18,423.766,0.62488,1.09229,1.15155,0.86746,0.86079,0.96072,0.7357,0.81989,2.34702,1.68546,0.000673079,0.000673079,0.000673079
19,445.587,0.6268,1.01221,1.17028,0.71658,1,0.97203,0.72642,0.84981,2.34343,1.68382,0.000689778,0.000689778,0.000689778
20,467.243,0.58773,1.19168,1.25906,0.92803,0.60553,0.84798,0.61934,0.80216,2.40693,1.54425,0.000704214,0.000704214,0.000704214
21,488.582,0.59952,1.25845,1.18194,0.71122,0.72868,0.82055,0.53492,0.938,2.58512,1.78442,0.000716386,0.000716386,0.000716386
22,509.646,0.64221,0.93534,1.14231,0.5656,0.78231,0.84261,0.57586,0.85455,2.52248,1.61078,0.000726295,0.000726295,0.000726295
23,530.936,0.55639,1.24558,1.18318,0.64642,0.78435,0.92676,0.72,0.6819,2.2965,1.36704,0.00073394,0.00073394,0.00073394
24,552.439,0.50991,0.90614,1.0972,0.80056,0.85185,0.95891,0.74761,0.80501,2.18929,1.49621,0.000739322,0.000739322,0.000739322
25,573.968,0.65697,1.09051,1.23243,0.83024,0.8392,0.94602,0.75752,0.79377,2.12896,1.50809,0.00074244,0.00074244,0.00074244
26,595.178,0.70983,0.99672,1.40742,0.91072,0.9794,0.995,0.85037,0.65488,2.0053,1.32981,0.000721645,0.000721645,0.000721645
27,616.983,0.49025,1.2307,1.15125,0.88864,0.96122,0.99417,0.84622,0.66103,1.85914,1.30817,0.000693351,0.000693351,0.000693351
