epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.747,1.29264,2.5793,1.84138,0.825,0.34579,0.51144,0.28009,1.33844,3.12143,2.42308,0.000468525,0.000468525,0.000468525
2,262.522,1.25465,1.79168,1.76455,0.61075,0.57508,0.5698,0.24841,1.64886,2.90388,2.51936,0.000933165,0.000933165,0.000933165
3,390.729,1.24989,1.58833,1.77154,0.80901,0.74919,0.85349,0.46937,1.43726,2.38906,2.66804,0.00138602,0.00138602,0.00138602
4,518.922,1.25911,1.43667,1.75632,0.89878,0.87084,0.91973,0.52344,1.49703,1.84526,2.67108,0.00137595,0.00137595,0.00137595
5,646.74,1.23044,1.39424,1.75271,0.82057,0.85601,0.85757,0.49953,1.35649,1.69143,2.40065,0.00135826,0.00135826,0.00135826
6,773.952,1.17904,1.26609,1.7056,0.94508,0.94146,0.95707,0.57638,1.2795,1.30419,2.35116,0.00134058,0.00134058,0.00134058
7,901.346,1.20115,1.2096,1.70559,0.89398,0.93548,0.95215,0.55925,1.31133,1.19373,2.29192,0.0013229,0.0013229,0.0013229
8,1030.17,1.19729,1.16933,1.71706,0.90927,0.91887,0.9573,0.51023,1.46443,1.1752,2.51765,0.00130521,0.00130521,0.00130521
9,1157.82,1.17767,1.09875,1.67661,0.84961,0.90565,0.9462,0.54703,1.36557,1.23551,2.43357,0.00128753,0.00128753,0.00128753
10,1285.56,1.13749,1.02969,1.67799,0.80119,0.88125,0.8823,0.54389,1.22718,1.27221,2.22279,0.00126985,0.00126985,0.00126985
11,1413.04,1.14694,1.03141,1.64569,0.96877,0.98197,0.98726,0.61634,1.24567,0.89404,2.13414,0.00125216,0.00125216,0.00125216
12,1540.32,1.12401,0.97305,1.66021,0.96723,0.91713,0.94287,0.56027,1.28277,0.92595,2.24361,0.00123448,0.00123448,0.00123448
13,1667.31,1.13444,0.95272,1.64006,0.97815,0.98319,0.98833,0.62245,1.1443,0.74709,2.1603,0.00121679,0.00121679,0.00121679
14,1794.08,1.09214,0.90909,1.64555,0.97549,0.99745,0.98667,0.64696,1.14814,0.72698,2.06372,0.00119911,0.00119911,0.00119911
15,1921.36,1.08253,0.9209,1.63011,0.97685,0.98958,0.98947,0.62478,1.27939,0.80393,2.18984,0.00118143,0.00118143,0.00118143
16,2048.77,1.08191,0.88392,1.62372,0.93253,0.93833,0.96849,0.62424,1.14225,0.81081,2.08239,0.00116374,0.00116374,0.00116374
17,2175.79,1.11285,0.87131,1.62186,0.9794,1,0.985,0.6164,1.23776,0.71951,2.12869,0.00114606,0.00114606,0.00114606
