epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.128,1.20449,2.81443,1.75001,0.65899,0.57129,0.54008,0.33231,1.1377,3.35429,1.90813,0.000331492,0.000331492,0.000331492
2,808.88,1.08284,1.80308,1.60382,0.68518,0.74129,0.75772,0.45334,1.25406,2.19935,2.04747,0.000656598,0.000656598,0.000656598
3,1226.52,1.05875,1.51106,1.58529,0.6995,0.72228,0.78353,0.50893,1.13065,1.82142,1.90087,0.000973454,0.000973454,0.000973454
4,1642.3,1.00467,1.34132,1.55782,0.7373,0.77216,0.81016,0.50182,1.17331,1.48999,1.94574,0.000962875,0.000962875,0.000962875
5,2058.03,0.96242,1.21259,1.51712,0.74061,0.78162,0.8101,0.55772,1.09987,1.43295,1.84949,0.0009505,0.0009505,0.0009505
6,2472.77,0.95146,1.12222,1.50848,0.90002,0.81887,0.90305,0.65684,0.97405,1.04038,1.71187,0.000938125,0.000938125,0.000938125
7,2958.1,0.89349,1.04801,1.46994,0.86211,0.89477,0.92993,0.66654,0.99396,0.91425,1.71661,0.00092575,0.00092575,0.00092575
8,3457.19,0.88403,0.99392,1.45465,0.91478,0.88233,0.94373,0.65739,0.99324,0.88985,1.74514,0.000913375,0.000913375,0.000913375
9,3956.78,0.87485,0.95263,1.44043,0.81679,0.91786,0.94268,0.6805,0.96996,0.80374,1.68399,0.000901,0.000901,0.000901
10,4446.06,0.86724,0.89274,1.44002,0.85894,0.90219,0.93212,0.67557,0.93865,0.81459,1.6622,0.000888625,0.000888625,0.000888625
11,4865.33,0.84587,0.86162,1.42003,0.89777,0.89938,0.95434,0.69117,1.03139,0.79011,1.71238,0.00087625,0.00087625,0.00087625
12,5271.46,0.80303,0.84165,1.40422,0.9458,0.94145,0.97441,0.70426,0.95493,0.65029,1.67937,0.000863875,0.000863875,0.000863875
13,5677.63,0.79015,0.83643,1.4001,0.87975,0.93436,0.93747,0.67242,0.93095,0.87102,1.6282,0.0008515,0.0008515,0.0008515
14,6083.24,0.79815,0.79931,1.3939,0.89914,0.93885,0.95776,0.72007,0.87562,0.66627,1.53061,0.000839125,0.000839125,0.000839125
15,6491.74,0.75894,0.77859,1.35839,0.90589,0.89617,0.96605,0.73085,0.84496,0.6926,1.50444,0.00082675,0.00082675,0.00082675
16,6900.04,0.75473,0.78023,1.36307,0.91594,0.95376,0.97235,0.73607,0.85303,0.60825,1.51382,0.000814375,0.000814375,0.000814375
17,7306.44,0.75644,0.76273,1.36416,0.92475,0.93526,0.9814,0.75535,0.87243,0.59661,1.57884,0.000802,0.000802,0.000802
18,7771.77,0.73488,0.74032,1.34999,0.95999,0.9568,0.98671,0.74712,0.87443,0.5596,1.49989,0.000789625,0.000789625,0.000789625
19,8235.87,0.74192,0.73979,1.35852,0.96648,0.94309,0.98945,0.75019,0.94309,0.57372,1.60388,0.00077725,0.00077725,0.00077725
20,8651.64,0.74767,0.70382,1.36391,0.86981,0.97604,0.97293,0.74054,0.87057,0.55225,1.49548,0.000764875,0.000764875,0.000764875
21,9057.61,0.71057,0.6952,1.32479,0.94212,0.97278,0.98847,0.75534,0.83183,0.53477,1.47291,0.0007525,0.0007525,0.0007525
22,9463.93,0.67652,0.67904,1.29783,0.96927,0.98178,0.98735,0.769,0.82169,0.51626,1.42619,0.000740125,0.000740125,0.000740125
23,9873.6,0.66414,0.66534,1.27693,0.96121,0.98713,0.99195,0.77918,0.81692,0.50926,1.40364,0.00072775,0.00072775,0.00072775
24,10391.8,0.65346,0.66385,1.27699,0.97334,0.96196,0.99183,0.76934,0.82089,0.52709,1.42864,0.000715375,0.000715375,0.000715375
25,10862.9,0.64639,0.63817,1.2834,0.97547,0.99419,0.99353,0.77849,0.78917,0.46088,1.42369,0.000703,0.000703,0.000703
26,11306,0.66171,0.66729,1.27977,0.97912,0.99237,0.99349,0.77437,0.83066,0.50172,1.43905,0.000690625,0.000690625,0.000690625
27,11769,0.6528,0.64922,1.29189,0.98593,0.99433,0.99471,0.78432,0.80116,0.48135,1.37865,0.00067825,0.00067825,0.00067825
28,12211,0.63601,0.62894,1.27021,0.94815,0.97435,0.98943,0.78523,0.79244,0.48532,1.35838,0.000665875,0.000665875,0.000665875
29,12686.4,0.62921,0.62677,1.27113,0.99224,0.99238,0.99481,0.79757,0.76825,0.47134,1.33067,0.0006535,0.0006535,0.0006535
30,13206.1,0.62224,0.63389,1.25915,0.97415,0.99232,0.99413,0.79481,0.75228,0.44819,1.31835,0.000641125,0.000641125,0.000641125
31,13683.6,0.60036,0.61214,1.24178,0.97653,0.97851,0.99298,0.80785,0.71299,0.45818,1.29142,0.00062875,0.00062875,0.00062875
32,14150.9,0.60864,0.60572,1.25448,0.97358,0.98149,0.98945,0.79933,0.73892,0.47409,1.32155,0.000616375,0.000616375,0.000616375
33,14629,0.5929,0.60795,1.2395,0.98718,0.99792,0.99399,0.78854,0.74653,0.44535,1.33678,0.000604,0.000604,0.000604
34,15119.2,0.60166,0.59507,1.25187,0.98764,0.98882,0.9937,0.79669,0.77167,0.46721,1.33281,0.000591625,0.000591625,0.000591625
35,15626.3,0.59558,0.60168,1.24019,0.9841,0.99866,0.99482,0.8107,0.7267,0.40572,1.26994,0.00057925,0.00057925,0.00057925
36,16125.7,0.57573,0.58864,1.23201,0.98189,0.99137,0.99378,0.79715,0.72936,0.43119,1.32231,0.000566875,0.000566875,0.000566875
37,16601.3,0.58466,0.56958,1.23356,0.99,0.99757,0.99487,0.82308,0.69989,0.39416,1.22898,0.0005545,0.0005545,0.0005545
38,17096.4,0.5534,0.57354,1.21106,0.98749,0.99874,0.99483,0.80512,0.72633,0.40427,1.25353,0.000542125,0.000542125,0.000542125
39,17585.3,0.54127,0.56604,1.2031,0.99009,0.99112,0.99429,0.81744,0.69227,0.39931,1.22507,0.00052975,0.00052975,0.00052975
40,18048,0.54801,0.54515,1.20905,0.98958,0.99782,0.99347,0.80526,0.73218,0.40101,1.28674,0.000517375,0.000517375,0.000517375
41,18571.8,0.54982,0.55365,1.21174,0.98372,0.99323,0.99327,0.81024,0.73085,0.39758,1.27293,0.000505,0.000505,0.000505
42,19234.7,0.52961,0.55772,1.19132,0.98859,0.99666,0.99477,0.82139,0.7224,0.41825,1.24911,0.000492625,0.000492625,0.000492625
43,19730.9,0.54354,0.56464,1.20868,0.99378,0.99944,0.99455,0.81935,0.70752,0.37703,1.21186,0.00048025,0.00048025,0.00048025
